;language:;Italian;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;Italian Web 2016;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;essere;1001705;1;;;;;;;;;;;;;;;;;;;;;;
2;potere;283651;0,283168198;;;;;;;;;;;;;;;;;;;;;;
3;fare;258628;0,25818779;;;;;;;;;;;;;;;;;;;;;;
4;avere;209925;0,209567687;;;;;;;;;;;;;;;;;;;;;;
5;dovere;141344;0,141103419;;;;;;;;;;;;;;;;;;;;;;
6;dire;104811;0,104632601;;;;;;;;;;;;;;;;;;;;;;
7;volere;85329;0,085183762;;;;;;;;;;;;;;;;;;;;;;
8;trovare;80705;0,080567632;;;;;;;;;;;;;;;;;;;;;;
9;andare;77712;0,077579727;;;;;;;;;;;;;;;;;;;;;;
10;dare;74148;0,074021793;;;;;;;;;;;;;;;;;;;;;;
11;stare;64034;0,063925008;;;;;;;;;;;;;;;;;;;;;;
12;vedere;61745;0,061639904;;;;;;;;;;;;;;;;;;;;;;
13;sapere;56884;0,056787178;;;;;;;;;;;;;;;;;;;;;;
14;mettere;50145;0,050059648;;;;;;;;;;;;;;;;;;;;;;
15;utilizzare;47147;0,047066751;;;;;;;;;;;;;;;;;;;;;;
16;portare;45399;0,045321726;;;;;;;;;;;;;;;;;;;;;;
17;presentare;44320;0,044244563;;;;;;;;;;;;;;;;;;;;;;
18;tenere;39555;0,039487674;;;;;;;;;;;;;;;;;;;;;;
19;prendere;38939;0,038872722;;;;;;;;;;;;;;;;;;;;;;
20;parlare;37940;0,037875422;;;;;;;;;;;;;;;;;;;;;;
21;scrivere;37829;0,037764611;;;;;;;;;;;;;;;;;;;;;;
22;realizzare;37615;0,037550976;;;;;;;;;;;;;;;;;;;;;;
23;offrire;37314;0,037250488;;;;;;;;;;;;;;;;;;;;;;
24;pensare;36329;0,036267164;;;;;;;;;;;;;;;;;;;;;;
25;rendere;35579;0,035518441;;;;;;;;;;;;;;;;;;;;;;
26;leggere;35186;0,03512611;;;;;;;;;;;;;;;;;;;;;;
27;arrivare;35169;0,035109139;;;;;;;;;;;;;;;;;;;;;;
28;seguire;33085;0,033028686;;;;;;;;;;;;;;;;;;;;;;
29;cercare;32659;0,032603411;;;;;;;;;;;;;;;;;;;;;;
30;lasciare;32087;0,032032385;;;;;;;;;;;;;;;;;;;;;;
31;permettere;32034;0,031979475;;;;;;;;;;;;;;;;;;;;;;
32;trattare;31979;0,031924569;;;;;;;;;;;;;;;;;;;;;;
33;diventare;31786;0,031731897;;;;;;;;;;;;;;;;;;;;;;
34;conoscere;31396;0,031342561;;;;;;;;;;;;;;;;;;;;;;
35;creare;30933;0,030880349;;;;;;;;;;;;;;;;;;;;;;
36;vivere;30932;0,030879351;;;;;;;;;;;;;;;;;;;;;;
37;continuare;30727;0,0306747;;;;;;;;;;;;;;;;;;;;;;
38;svolgere;30652;0,030599827;;;;;;;;;;;;;;;;;;;;;;
39;venire;30637;0,030584853;;;;;;;;;;;;;;;;;;;;;;
40;dedicare;29846;0,029795199;;;;;;;;;;;;;;;;;;;;;;
41;passare;29528;0,02947774;;;;;;;;;;;;;;;;;;;;;;
42;riuscire;29458;0,02940786;;;;;;;;;;;;;;;;;;;;;;
43;chiedere;29372;0,029322006;;;;;;;;;;;;;;;;;;;;;;
44;usare;28339;0,028290764;;;;;;;;;;;;;;;;;;;;;;
45;sentire;28221;0,028172965;;;;;;;;;;;;;;;;;;;;;;
46;nascere;28133;0,028085115;;;;;;;;;;;;;;;;;;;;;;
47;aprire;27382;0,027335393;;;;;;;;;;;;;;;;;;;;;;
48;sembrare;27364;0,027317424;;;;;;;;;;;;;;;;;;;;;;
49;ricordare;26939;0,026893147;;;;;;;;;;;;;;;;;;;;;;
50;consentire;26882;0,026836244;;;;;;;;;;;;;;;;;;;;;;
51;ottenere;26564;0,026518785;;;;;;;;;;;;;;;;;;;;;;
52;pubblicare;26053;0,026008655;;;;;;;;;;;;;;;;;;;;;;
53;fornire;25597;0,025553431;;;;;;;;;;;;;;;;;;;;;;
54;effettuare;25533;0,02548954;;;;;;;;;;;;;;;;;;;;;;
55;richiedere;25331;0,025287884;;;;;;;;;;;;;;;;;;;;;;
56;proporre;25097;0,025054282;;;;;;;;;;;;;;;;;;;;;;
57;rappresentare;25086;0,025043301;;;;;;;;;;;;;;;;;;;;;;
58;chiamare;24590;0,024548145;;;;;;;;;;;;;;;;;;;;;;
59;partire;24227;0,024185763;;;;;;;;;;;;;;;;;;;;;;
60;scegliere;24014;0,023973126;;;;;;;;;;;;;;;;;;;;;;
61;iniziare;23975;0,023934192;;;;;;;;;;;;;;;;;;;;;;
62;raggiungere;23945;0,023904243;;;;;;;;;;;;;;;;;;;;;;
63;considerare;23808;0,023767476;;;;;;;;;;;;;;;;;;;;;;
64;organizzare;23763;0,023722553;;;;;;;;;;;;;;;;;;;;;;
65;inserire;22436;0,022397812;;;;;;;;;;;;;;;;;;;;;;
66;riguardare;22061;0,02202345;;;;;;;;;;;;;;;;;;;;;;
67;costituire;21906;0,021868714;;;;;;;;;;;;;;;;;;;;;;
68;credere;21776;0,021738935;;;;;;;;;;;;;;;;;;;;;;
69;ricevere;21410;0,021373558;;;;;;;;;;;;;;;;;;;;;;
70;partecipare;21298;0,021261749;;;;;;;;;;;;;;;;;;;;;;
71;comprendere;21174;0,02113796;;;;;;;;;;;;;;;;;;;;;;
72;entrare;21151;0,021114999;;;;;;;;;;;;;;;;;;;;;;
73;contenere;20854;0,020818504;;;;;;;;;;;;;;;;;;;;;;
74;porre;20361;0,020326344;;;;;;;;;;;;;;;;;;;;;;
75;aggiungere;20329;0,020294398;;;;;;;;;;;;;;;;;;;;;;
76;lavorare;20295;0,020260456;;;;;;;;;;;;;;;;;;;;;;
77;capire;20160;0,020125686;;;;;;;;;;;;;;;;;;;;;;
78;garantire;19960;0,019926026;;;;;;;;;;;;;;;;;;;;;;
79;tornare;19689;0,019655487;;;;;;;;;;;;;;;;;;;;;;
80;rimanere;19370;0,01933703;;;;;;;;;;;;;;;;;;;;;;
81;esistere;19314;0,019281126;;;;;;;;;;;;;;;;;;;;;;
82;servire;19267;0,019234206;;;;;;;;;;;;;;;;;;;;;;
83;produrre;18988;0,018955681;;;;;;;;;;;;;;;;;;;;;;
84;decidere;18835;0,018802941;;;;;;;;;;;;;;;;;;;;;;
85;scoprire;18538;0,018506447;;;;;;;;;;;;;;;;;;;;;;
86;inviare;18328;0,018296804;;;;;;;;;;;;;;;;;;;;;;
87;indicare;18100;0,018069192;;;;;;;;;;;;;;;;;;;;;;
88;avvenire;17781;0,017750735;;;;;;;;;;;;;;;;;;;;;;
89;guardare;17624;0,017594002;;;;;;;;;;;;;;;;;;;;;;
90;definire;17280;0,017250588;;;;;;;;;;;;;;;;;;;;;;
91;restare;17217;0,017187695;;;;;;;;;;;;;;;;;;;;;;
92;costruire;16996;0,016967071;;;;;;;;;;;;;;;;;;;;;;
93;rispondere;16995;0,016966073;;;;;;;;;;;;;;;;;;;;;;
94;comporre;16994;0,016965075;;;;;;;;;;;;;;;;;;;;;;
95;cambiare;16725;0,016696532;;;;;;;;;;;;;;;;;;;;;;
96;perdere;16504;0,016475909;;;;;;;;;;;;;;;;;;;;;;
97;aiutare;16283;0,016255285;;;;;;;;;;;;;;;;;;;;;;
98;ritenere;16203;0,016175421;;;;;;;;;;;;;;;;;;;;;;
99;intendere;16179;0,016151462;;;;;;;;;;;;;;;;;;;;;;
100;uscire;16143;0,016115523;;;;;;;;;;;;;;;;;;;;;;
101;prevedere;16044;0,016016692;;;;;;;;;;;;;;;;;;;;;;
102;rivolgere;15936;0,015908875;;;;;;;;;;;;;;;;;;;;;;
103;provare;15796;0,015769114;;;;;;;;;;;;;;;;;;;;;;
104;risultare;15586;0,015559471;;;;;;;;;;;;;;;;;;;;;;
105;riconoscere;15439;0,015412721;;;;;;;;;;;;;;;;;;;;;;
106;sostenere;15378;0,015351825;;;;;;;;;;;;;;;;;;;;;;
107;raccogliere;15356;0,015329863;;;;;;;;;;;;;;;;;;;;;;
108;promuovere;15266;0,015240016;;;;;;;;;;;;;;;;;;;;;;
109;disporre;15053;0,015027378;;;;;;;;;;;;;;;;;;;;;;
110;riportare;14778;0,014752846;;;;;;;;;;;;;;;;;;;;;;
111;occupare;14325;0,014300617;;;;;;;;;;;;;;;;;;;;;;
112;amare;14178;0,014153868;;;;;;;;;;;;;;;;;;;;;;
113;sviluppare;14143;0,014118927;;;;;;;;;;;;;;;;;;;;;;
114;raccontare;14089;0,014065019;;;;;;;;;;;;;;;;;;;;;;
115;esprimere;14084;0,014060028;;;;;;;;;;;;;;;;;;;;;;
116;bastare;13925;0,013901298;;;;;;;;;;;;;;;;;;;;;;
117;cominciare;13850;0,013826426;;;;;;;;;;;;;;;;;;;;;;
118;gestire;13804;0,013780504;;;;;;;;;;;;;;;;;;;;;;
119;mostrare;13778;0,013754548;;;;;;;;;;;;;;;;;;;;;;
120;finire;13756;0,013732586;;;;;;;;;;;;;;;;;;;;;;
121;spiegare;13749;0,013725598;;;;;;;;;;;;;;;;;;;;;;
122;ridurre;13700;0,013676681;;;;;;;;;;;;;;;;;;;;;;
123;applicare;13418;0,013395161;;;;;;;;;;;;;;;;;;;;;;
124;mantenere;13398;0,013375195;;;;;;;;;;;;;;;;;;;;;;
125;evitare;13295;0,013272371;;;;;;;;;;;;;;;;;;;;;;
126;registrare;13162;0,013139597;;;;;;;;;;;;;;;;;;;;;;
127;stabilire;12956;0,012933948;;;;;;;;;;;;;;;;;;;;;;
128;assumere;12857;0,012835116;;;;;;;;;;;;;;;;;;;;;;
129;dimostrare;12795;0,012773222;;;;;;;;;;;;;;;;;;;;;;
130;affrontare;12627;0,012605508;;;;;;;;;;;;;;;;;;;;;;
131;coinvolgere;12448;0,012426812;;;;;;;;;;;;;;;;;;;;;;
132;morire;12444;0,012422819;;;;;;;;;;;;;;;;;;;;;;
133;chiudere;12423;0,012401855;;;;;;;;;;;;;;;;;;;;;;
134;acquistare;12301;0,012280062;;;;;;;;;;;;;;;;;;;;;;
135;cliccare;12178;0,012157272;;;;;;;;;;;;;;;;;;;;;;
136;preparare;12076;0,012055445;;;;;;;;;;;;;;;;;;;;;;
137;mancare;12063;0,012042468;;;;;;;;;;;;;;;;;;;;;;
138;iscrivere;12051;0,012030488;;;;;;;;;;;;;;;;;;;;;;
139;accompagnare;12034;0,012013517;;;;;;;;;;;;;;;;;;;;;;
140;incontrare;12023;0,012002536;;;;;;;;;;;;;;;;;;;;;;
141;condurre;11891;0,01187076;;;;;;;;;;;;;;;;;;;;;;
142;operare;11869;0,011848798;;;;;;;;;;;;;;;;;;;;;;
143;superare;11854;0,011833823;;;;;;;;;;;;;;;;;;;;;;
144;eseguire;11825;0,011804873;;;;;;;;;;;;;;;;;;;;;;
145;piacere;11805;0,011784907;;;;;;;;;;;;;;;;;;;;;;
146;giungere;11701;0,011681084;;;;;;;;;;;;;;;;;;;;;;
147;bisognare;11686;0,011666109;;;;;;;;;;;;;;;;;;;;;;
148;comunicare;11664;0,011644147;;;;;;;;;;;;;;;;;;;;;;
149;apparire;11654;0,011634164;;;;;;;;;;;;;;;;;;;;;;
150;aspettare;11532;0,011512371;;;;;;;;;;;;;;;;;;;;;;
151;pagare;11438;0,011418531;;;;;;;;;;;;;;;;;;;;;;
152;formare;11437;0,011417533;;;;;;;;;;;;;;;;;;;;;;
153;interessare;11276;0,011256807;;;;;;;;;;;;;;;;;;;;;;
154;proseguire;11225;0,011205894;;;;;;;;;;;;;;;;;;;;;;
155;provenire;11134;0,011115049;;;;;;;;;;;;;;;;;;;;;;
156;giocare;11122;0,011103069;;;;;;;;;;;;;;;;;;;;;;
157;dotare;11091;0,011072122;;;;;;;;;;;;;;;;;;;;;;
158;migliorare;11062;0,011043171;;;;;;;;;;;;;;;;;;;;;;
159;destinare;11058;0,011039178;;;;;;;;;;;;;;;;;;;;;;
160;condividere;11044;0,011025202;;;;;;;;;;;;;;;;;;;;;;
161;aumentare;11020;0,011001243;;;;;;;;;;;;;;;;;;;;;;
162;ospitare;10985;0,010966302;;;;;;;;;;;;;;;;;;;;;;
163;verificare;10735;0,010716728;;;;;;;;;;;;;;;;;;;;;;
164;significare;10715;0,010696762;;;;;;;;;;;;;;;;;;;;;;
165;derivare;10703;0,010684782;;;;;;;;;;;;;;;;;;;;;;
166;accettare;10676;0,010657828;;;;;;;;;;;;;;;;;;;;;;
167;concludere;10641;0,010622888;;;;;;;;;;;;;;;;;;;;;;
168;visitare;10636;0,010617896;;;;;;;;;;;;;;;;;;;;;;
169;vincere;10571;0,010553007;;;;;;;;;;;;;;;;;;;;;;
170;crescere;10529;0,010511079;;;;;;;;;;;;;;;;;;;;;;
171;affermare;10514;0,010496104;;;;;;;;;;;;;;;;;;;;;;
172;caratterizzare;10483;0,010465157;;;;;;;;;;;;;;;;;;;;;;
173;impegnare;10325;0,010307426;;;;;;;;;;;;;;;;;;;;;;
174;sperare;9910;0,009893132;;;;;;;;;;;;;;;;;;;;;;
175;individuare;9893;0,009876161;;;;;;;;;;;;;;;;;;;;;;
176;assicurare;9881;0,009864182;;;;;;;;;;;;;;;;;;;;;;
177;osservare;9861;0,009844216;;;;;;;;;;;;;;;;;;;;;;
178;modificare;9834;0,009817262;;;;;;;;;;;;;;;;;;;;;;
179;trasformare;9799;0,009782321;;;;;;;;;;;;;;;;;;;;;;
180;dichiarare;9785;0,009768345;;;;;;;;;;;;;;;;;;;;;;
181;studiare;9668;0,009651544;;;;;;;;;;;;;;;;;;;;;;
182;collegare;9658;0,009641561;;;;;;;;;;;;;;;;;;;;;;
183;invitare;9613;0,009596638;;;;;;;;;;;;;;;;;;;;;;
184;determinare;9595;0,009578668;;;;;;;;;;;;;;;;;;;;;;
185;guidare;9565;0,009548719;;;;;;;;;;;;;;;;;;;;;;
186;contattare;9560;0,009543728;;;;;;;;;;;;;;;;;;;;;;
187;adottare;9558;0,009541731;;;;;;;;;;;;;;;;;;;;;;
188;confermare;9509;0,009492815;;;;;;;;;;;;;;;;;;;;;;
189;basare;9468;0,009451885;;;;;;;;;;;;;;;;;;;;;;
190;fermare;9454;0,009437908;;;;;;;;;;;;;;;;;;;;;;
191;salire;9446;0,009429922;;;;;;;;;;;;;;;;;;;;;;
192;accedere;9401;0,009384999;;;;;;;;;;;;;;;;;;;;;;
